Case Number,Case Title,Evidence ID,Evidence Type,Artifact Title,Target Filename,Prompt
CIV-2012-001,Dwarka Sector 23 Cash Van Robbery,EVD-001-002,CCTV_FOOTAGE,CAM-01 Still — Grey Tracksuit (07:43:12),d7479ace1574d92626a6070ad3004d1e43497cdf6d1e0a71d0f6588874392483.png,"Grainy 1080p surveillance CCTV security camera frame at night, Dwarka Sector 23, Delhi NCR, depicting CAM-01 Still — Grey Tracksuit (07:43:12) (Dwarka Sector 23 Cash Van Robbery (2012)). Dark urban environment, overhead streetlights, digital timestamp and red REC [LIVE] indicator overlay in corner, forensic law enforcement evidence camera capture."
CIV-2012-001,Dwarka Sector 23 Cash Van Robbery,EVD-001-017,CCTV_FOOTAGE,CAM-04 Najafgarh — Two Motorcycles 06:10,9792de078a4068a2e819edd111a6729c5ad5dbdb07add6f14ce9b33987c1706e.png,"Grainy 1080p surveillance CCTV security camera frame at night, Dwarka Sector 23, Delhi NCR, depicting CAM-04 Najafgarh — Two Motorcycles 06:10 (Dwarka Sector 23 Cash Van Robbery (2012)). Dark urban environment, overhead streetlights, digital timestamp and red REC [LIVE] indicator overlay in corner, forensic law enforcement evidence camera capture."
CIV-2012-001,Dwarka Sector 23 Cash Van Robbery,VIS-001-001,PHOTOGRAPH,CIVIX-001 — Visual Artifact 01,2e1ad31d77e4fffcde6b81c12cc2d492af4e2f1073f89ee03b2b3a898843df07.png,"Authentic field crime scene photograph captured with 35mm DSLR lens, realistic lighting, detailed forensic evidence capture at Dwarka Sector 23, Delhi NCR: CIVIX-001 — Visual Artifact 01 related to Dwarka Sector 23 Cash Van Robbery (2012). Indian Police investigation unit evidence standards."
CIV-2012-001,Dwarka Sector 23 Cash Van Robbery,VIS-001-002,CCTV_FOOTAGE,CIVIX-001 — Visual Artifact 02,9e870b4a08b09a3cce5293628a2b4549a225c1942ea3cb6401bce6d02571e4de.png,"Grainy 1080p surveillance CCTV security camera frame at night, Dwarka Sector 23, Delhi NCR, depicting CIVIX-001 — Visual Artifact 02 (Dwarka Sector 23 Cash Van Robbery (2012)). Dark urban environment, overhead streetlights, digital timestamp and red REC [LIVE] indicator overlay in corner, forensic law enforcement evidence camera capture."
CIV-2012-001,Dwarka Sector 23 Cash Van Robbery,VIS-001-003,SKETCH,CIVIX-001 — Visual Artifact 03,a156853b64858815a46cc0acfc6ad894d47f458b4b90fcd5ebd17cd7429aa381.png,"Police forensic composite suspect sketch on textured paper, detailed hand-drawn pencil and charcoal portrait, front view portrait of male suspect for Dwarka Sector 23 Cash Van Robbery (2012), police department evidence stamp on margin: CIVIX-001 — Visual Artifact 03."
CIV-2012-001,Dwarka Sector 23 Cash Van Robbery,VIS-001-004,PHYSICAL_EVIDENCE,CIVIX-001 — Visual Artifact 04,23d57b11c0715b79fc1056ccd71c83e3e97f670efdf6171ca6dfe1c7983c566c.png,"Macro forensic photograph of physical evidence item (CIVIX-001 — Visual Artifact 04) for Dwarka Sector 23 Cash Van Robbery (2012), placed on dark laboratory surface in Indian police forensic lab, yellow metric centimeter scale ruler alongside, sharp focus, professional laboratory evidence lighting."
CIV-2012-001,Dwarka Sector 23 Cash Van Robbery,VIS-001-005,PHOTOGRAPH,CIVIX-001 — Visual Artifact 05,8ab58196ccd962980bf63ed2c6d990d8c83d9e542cd562b38322e0f3e15dc88e.png,"Authentic field crime scene photograph captured with 35mm DSLR lens, realistic lighting, detailed forensic evidence capture at Dwarka Sector 23, Delhi NCR: CIVIX-001 — Visual Artifact 05 related to Dwarka Sector 23 Cash Van Robbery (2012). Indian Police investigation unit evidence standards."
CIV-2012-001,Dwarka Sector 23 Cash Van Robbery,VIS-001-006,PHOTOGRAPH,CIVIX-001 — Visual Artifact 06,e1b69971184bc57d824be3eb942454e3c0badee1fe579744c8a1a96efb4b5c31.png,"Authentic field crime scene photograph captured with 35mm DSLR lens, realistic lighting, detailed forensic evidence capture at Dwarka Sector 23, Delhi NCR: CIVIX-001 — Visual Artifact 06 related to Dwarka Sector 23 Cash Van Robbery (2012). Indian Police investigation unit evidence standards."
CIV-2012-001,Dwarka Sector 23 Cash Van Robbery,VIS-001-007,CCTV_FOOTAGE,CIVIX-001 — Visual Artifact 07,87d51538efd548a70aa294c834f462a88335ac9032fe623130c4a99b8e07aa69.png,"Grainy 1080p surveillance CCTV security camera frame at night, Dwarka Sector 23, Delhi NCR, depicting CIVIX-001 — Visual Artifact 07 (Dwarka Sector 23 Cash Van Robbery (2012)). Dark urban environment, overhead streetlights, digital timestamp and red REC [LIVE] indicator overlay in corner, forensic law enforcement evidence camera capture."
CIV-2012-001,Dwarka Sector 23 Cash Van Robbery,VIS-001-008,PHOTOGRAPH,CIVIX-001 — Visual Artifact 08,ce06514ec247a49931702ca673a10427d3a7cf03be53dbb5ee9335f27348e746.png,"Authentic field crime scene photograph captured with 35mm DSLR lens, realistic lighting, detailed forensic evidence capture at Dwarka Sector 23, Delhi NCR: CIVIX-001 — Visual Artifact 08 related to Dwarka Sector 23 Cash Van Robbery (2012). Indian Police investigation unit evidence standards."
CIV-2012-001,Dwarka Sector 23 Cash Van Robbery,VIS-001-009,SKETCH,CIVIX-001 — Visual Artifact 09,c1067cc4833245d8f63f372221cbd11b82cbc1f13aa0500128e96bf0575f5259.png,"Police forensic composite suspect sketch on textured paper, detailed hand-drawn pencil and charcoal portrait, front view portrait of male suspect for Dwarka Sector 23 Cash Van Robbery (2012), police department evidence stamp on margin: CIVIX-001 — Visual Artifact 09."
CIV-2012-001,Dwarka Sector 23 Cash Van Robbery,VIS-001-010,PHYSICAL_EVIDENCE,CIVIX-001 — Visual Artifact 10,c361e35307c414dbd35f3bc7b404256eaf8977f22cad604715b9fabd5b912e93.png,"Macro forensic photograph of physical evidence item (CIVIX-001 — Visual Artifact 10) for Dwarka Sector 23 Cash Van Robbery (2012), placed on dark laboratory surface in Indian police forensic lab, yellow metric centimeter scale ruler alongside, sharp focus, professional laboratory evidence lighting."
CIV-2012-001,Dwarka Sector 23 Cash Van Robbery,VIS-001-011,PHOTOGRAPH,CIVIX-001 — Visual Artifact 11,cb07f1081b64435e928f5a9b9b53965def7493e835e5614057bb3c786ca0ec9f.png,"Authentic field crime scene photograph captured with 35mm DSLR lens, realistic lighting, detailed forensic evidence capture at Dwarka Sector 23, Delhi NCR: CIVIX-001 — Visual Artifact 11 related to Dwarka Sector 23 Cash Van Robbery (2012). Indian Police investigation unit evidence standards."
CIV-2012-001,Dwarka Sector 23 Cash Van Robbery,VIS-001-012,CCTV_FOOTAGE,CIVIX-001 — Visual Artifact 12,d3bf2a91f6870d0c2736fa887362b60c4169fb3b1142963e5e4caff3becb2f0e.png,"Grainy 1080p surveillance CCTV security camera frame at night, Dwarka Sector 23, Delhi NCR, depicting CIVIX-001 — Visual Artifact 12 (Dwarka Sector 23 Cash Van Robbery (2012)). Dark urban environment, overhead streetlights, digital timestamp and red REC [LIVE] indicator overlay in corner, forensic law enforcement evidence camera capture."
CIV-2012-001,Dwarka Sector 23 Cash Van Robbery,VIS-001-013,PHOTOGRAPH,CIVIX-001 — Visual Artifact 13,b242e08eed2b22386b3620c83944edc29d1b061e66c15a9d413fd3bfdc8df36a.png,"Authentic field crime scene photograph captured with 35mm DSLR lens, realistic lighting, detailed forensic evidence capture at Dwarka Sector 23, Delhi NCR: CIVIX-001 — Visual Artifact 13 related to Dwarka Sector 23 Cash Van Robbery (2012). Indian Police investigation unit evidence standards."
CIV-2012-001,Dwarka Sector 23 Cash Van Robbery,VIS-001-014,PHYSICAL_EVIDENCE,CIVIX-001 — Visual Artifact 14,a4657b406b7debe8491023c411a2b42885ad6fa2953f4efeac502982bc04eaf3.png,"Macro forensic photograph of physical evidence item (CIVIX-001 — Visual Artifact 14) for Dwarka Sector 23 Cash Van Robbery (2012), placed on dark laboratory surface in Indian police forensic lab, yellow metric centimeter scale ruler alongside, sharp focus, professional laboratory evidence lighting."
CIV-2018-036,Nizamuddin Gold Bar Theft,EVD-036-011,CCTV_FOOTAGE,Nizamuddin Gold — Evidence Item 11,14d4a04cbd2337c63a0a46127c9dc699967d718464987a037a47376cc304ab09.png,"Grainy 1080p surveillance CCTV security camera frame at night, Nizamuddin Railway Station & Vault, Delhi, depicting Nizamuddin Gold — Evidence Item 11 (Nizamuddin Gold Bar Theft (2018)). Dark urban environment, overhead streetlights, digital timestamp and red REC [LIVE] indicator overlay in corner, forensic law enforcement evidence camera capture."
CIV-2018-036,Nizamuddin Gold Bar Theft,VIS-036-001,PHOTOGRAPH,Nizamuddin Gold — Visual Artifact 01,db270315db9490359dd8a2e32b676dadeba65b85ad045da5d2c68823b70be3a5.png,"Authentic field crime scene photograph captured with 35mm DSLR lens, realistic lighting, detailed forensic evidence capture at Nizamuddin Railway Station & Vault, Delhi: Nizamuddin Gold — Visual Artifact 01 related to Nizamuddin Gold Bar Theft (2018). Indian Police investigation unit evidence standards."
