feature,V2A_mean,V2B_mean,V2C_mean,V2B_shift_%,V2C_shift_%
total_calls,435.0092,347.9289,347.9671,-20.02,-20.01
active_days,302.8667,256.7366,256.8472,-15.23,-15.19
unique_contacts,253.4828,211.7285,211.2617,-16.47,-16.66
unique_cell_sectors,214.8941,148.6395,148.4521,-30.83,-30.92
voice_calls,274.0476,219.2471,219.191,-20.0,-20.02
sms_count,117.4701,93.9148,93.9569,-20.05,-20.02
data_sessions,43.4915,34.7669,34.8192,-20.06,-19.94
median_duration_sec,381.3249,381.0397,381.1291,-0.07,-0.05
short_call_ratio,0.0139,0.0139,0.014,0.0,0.72
night_call_count,95.0697,76.1802,76.0021,-19.87,-20.06
night_call_ratio,0.2524,0.2529,0.2525,0.2,0.04
weekend_call_ratio,0.2857,0.2856,0.2856,-0.04,-0.04
calls_per_active_day,1.3037,1.2403,1.24,-4.86,-4.89
contact_concentration,0.0425,0.0442,0.0441,4.0,3.76
unique_counterparties,25.9037,23.7501,23.6069,-8.31,-8.87
txn_type_diversity,4.9558,4.8136,4.8017,-2.87,-3.11
total_sent_amount,5070269.3056,4200485.8474,4236479.2031,-17.15,-16.44
avg_txn_amount,73012.5195,73287.0823,74080.0006,0.38,1.46
median_txn_amount,41232.9609,42028.4939,42056.4714,1.93,2.0
max_txn_amount,532000.3354,494425.7873,505753.1466,-7.06,-4.93
min_txn_amount,6539.5459,7344.6762,7431.0511,12.31,13.63
std_txn_amount,98632.7926,97074.1459,98711.0831,-1.58,0.08
high_value_txn_count,2.9999,2.4999,2.4999,-16.67,-16.67
high_value_txn_ratio,0.0391,0.0399,0.0398,2.05,1.79
amount_concentration,0.2506,0.2711,0.2726,8.18,8.78
unique_sectors,214.8941,148.6395,148.4521,-30.83,-30.92
unique_regions,1.2489,1.2469,1.243,-0.16,-0.47
geo_spread_degrees,2.2471,2.2373,2.2259,-0.44,-0.94
lat_stddev,0.3734,0.357,0.3572,-4.39,-4.34
lon_stddev,0.3699,0.3904,0.3917,5.54,5.89
location_active_days,302.8667,256.7366,256.8472,-15.23,-15.19
cross_region_ratio,0.1244,0.1235,0.1215,-0.72,-2.33
active_day_delta,251.6611,213.6256,214.1602,-15.11,-14.9
calls_per_txn,22.8674,21.8561,21.8138,-4.42,-4.61
call_duration_cv,0.5844,0.5847,0.5846,0.05,0.03
txn_amount_cv,1.3656,1.3264,1.3284,-2.87,-2.72
comm_span_days,1002.1461,991.3635,992.5069,-1.08,-0.96
txn_span_days,721.5145,707.9673,706.2748,-1.88,-2.11
dual_concentration,0.011,0.0124,0.0124,12.73,12.73
total_network_size,279.3865,235.4786,234.8686,-15.72,-15.93
